sample_id,day,infection_status,temperature
113,D9,uninfected,cold
118,D9,infected,ambient
127,D9,infected,warm
132,D9,infected,ambient
151,D9,infected,cold
173,D9,infected,warm
178,D9,infected,ambient
221,D12,uninfected,cold
222,D12,uninfected,cold
254,D12,infected,cold
272,D12,infected,warm
280,D12,infected,warm
294,D12,infected,warm
334,D12,infected,ambient
349,D12,infected,ambient
359,D12,infected,ambient
425,D26,uninfected,cold
427,D26,uninfected,cold
445,D26,infected,cold
463,D26,infected,ambient
481,D26,infected,ambient
485,D26,infected,ambient
72,D9,infected,warm
73,D9,uninfected,cold
